Sales Channel,OrderDate,ShipDate,DeliveryDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost
In-Store,2018-05-31,2018-06-14,2018-06-19,6,15,259,12,5,0.08,1963.10,1001.18
Online,2018-05-31,2018-06-22,2018-07-02,14,20,196,27,3,0.08,3939.60,3348.66
Distributor,2018-05-31,2018-06-21,2018-07-01,21,16,213,16,1,0.05,1775.50,781.22
Wholesale,2018-05-31,2018-06-02,2018-06-07,28,48,107,23,8,0.08,2324.90,1464.69
Distributor,2018-05-31,2018-06-16,2018-06-26,22,49,111,26,8,0.10,1822.40,1476.14
Online,2018-05-31,2018-06-08,2018-06-13,12,21,285,1,5,0.05,1038.50,446.56
In-Store,2018-05-31,2018-06-08,2018-06-14,10,14,6,5,4,0.15,1192.60,536.67
In-Store,2018-05-31,2018-06-26,2018-07-01,6,9,280,46,5,0.05,1815.70,1525.19
In-Store,2018-06-01,2018-06-16,2018-06-21,4,9,299,47,4,0.30,3879.30,2211.20
In-Store,2018-06-01,2018-06-29,2018-07-01,10,33,261,13,8,0.05,1956.40,1212.97
Distributor,2018-06-01,2018-06-15,2018-06-20,23,21,17,38,6,0.10,201.00,124.62
In-Store,2018-06-01,2018-06-07,2018-06-17,10,21,152,40,5,0.15,6277.90,2762.28
In-Store,2018-06-01,2018-06-22,2018-07-02,4,36,317,39,5,0.05,1051.90,641.66
In-Store,2018-06-01,2018-06-07,2018-06-15,8,17,291,32,6,0.15,254.60,216.41
In-Store,2018-06-01,2018-06-15,2018-06-20,9,32,138,6,6,0.15,3932.90,3146.32
In-Store,2018-06-01,2018-06-24,2018-07-02,5,11,354,25,3,0.05,1112.20,700.69
In-Store,2018-06-01,2018-06-19,2018-06-27,9,10,320,6,3,0.08,1239.50,904.84
In-Store,2018-06-01,2018-06-06,2018-06-14,8,30,21,3,4,0.10,984.90,393.96
In-Store,2018-06-01,2018-06-07,2018-06-15,5,5,349,20,4,0.10,5581.10,4130.01
Online,2018-06-01,2018-06-11,2018-06-17,14,23,134,24,4,0.05,3095.40,1795.33
Wholesale,2018-06-01,2018-06-18,2018-06-20,25,46,193,33,4,0.40,2278.00,1754.06
In-Store,2018-06-02,2018-06-10,2018-06-16,2,14,282,1,7,0.08,991.60,654.46
In-Store,2018-06-02,2018-06-26,2018-06-28,7,40,20,35,2,0.20,3979.80,3064.45
Distributor,2018-06-02,2018-06-22,2018-07-02,24,19,218,15,3,0.40,1969.80,866.71
In-Store,2018-06-02,2018-06-16,2018-06-24,4,15,173,13,1,0.15,268.00,131.32
Online,2018-06-02,2018-06-21,2018-07-01,18,46,110,24,7,0.10,174.20,95.81
In-Store,2018-06-02,2018-06-26,2018-07-06,7,32,229,46,3,0.08,2988.20,2510.09
In-Store,2018-06-02,2018-06-20,2018-06-29,9,32,238,36,4,0.05,3999.90,2679.93
Distributor,2018-06-02,2018-06-21,2018-06-22,20,22,97,37,3,0.05,5976.40,2450.32
In-Store,2018-06-02,2018-06-27,2018-06-29,8,5,103,32,5,0.10,2901.10,2378.90
